"Country","Ecoregion","Species","Km","Count","Encounters_(<=500m)","Group_sizeXdistance_cor_test_p","DS_cutpoints","Detection_probability","Detection_function","GoF_DS_Xsq","N_(count/p)","D_(N/Km)","Group_size_beta"
"Costa Rica","Isthmian-Atlantic moist forests","Psittacara finschi",682.1,145,26,0.46,"25m",0.18,"half-normal key function",0.999999863583072,805.56,1.18,"-"
"Costa Rica","Isthmian-Pacific moist forests","Amazona autumnalis",476.3,208,55,0.21,"25m",0.21,"half-normal key function with cosine(2,3) adjustments",0.966370841861744,990.48,2.08,"-"
"Costa Rica","Isthmian-Pacific moist forests","Ara macao",476.3,33,12,0.79,"50m",0.27,"half-normal key function with cosine(2) adjustments",0.475608139929313,122.22,0.26,"-"
"Costa Rica","Isthmian-Pacific moist forests","Brotogeris jugularis",476.3,258,47,0.94,"100m",0.19,"half-normal key function",0.591319772466311,1357.89,2.85,"-"
"Costa Rica","Isthmian-Pacific moist forests","Pionus menstruus",476.3,61,11,0.01,"25m",0.23,"half-normal key function",0.997450262842918,265.22,0.56,"-"
"Costa Rica","Isthmian-Pacific moist forests","Pionus senilis",476.3,44,14,0.83,"25m",0.27,"half-normal key function with cosine(2) adjustments",0.262987388426204,162.96,0.34,"-"
"Costa Rica","Isthmian-Pacific moist forests","Psittacara finschi",476.3,44,14,0.58,"100m",0.14,"half-normal key function",0.999921877686463,314.29,0.66,"-"
"Dominican Republic","Hispaniolan dry forests","Psittacula chloropterus",716.64,84,14,0.03,"50m",0.15,"half-normal key function with group size covariate",0.262487728750859,560,0.78,"0.11"
"Dominican Republic","Hispaniolan moist forests","Psittacula chloropterus",1147.5,157,22,0.08,"50m",0.16,"half-normal key function",0.998474277077227,981.25,0.86,"-"
"Ecuador","Eastern Cordillera Real montane forests","Pionus chalcopterus",482.99,113,13,0.62,"25m",0.43,"half-normal key function",0.849003870614434,262.79,0.54,"-"
"Ecuador","Eastern Cordillera Real montane forests","Pionus menstruus",482.99,83,16,0.15,"100m",0.2,"half-normal key function",0.940776055469175,415,0.86,"-"
"Ecuador","Eastern Cordillera Real montane forests","Psittacara leucophthalmus",482.99,435,18,0.13,"100m",0.71,"half-normal key function",0.428575069784371,612.68,1.27,"-"
"Ecuador","Ecuadorian dry forests","Forpus coelestis",183.89,245,19,0.27,"50m",0.13,"half-normal key function",0.999998159825162,1884.62,10.25,"-"
